# registro dello spostamento -- scritto MAN MANO
vecchio	nuovo	sha1_byte	byte	esito
csv/_seal_fork/_y_post.pkl	E:\soliton_archivio\csv\_seal_fork\_y_post.pkl	70ee22f730a07f8835faf62e4c05034de5e46bc6	20529240	OK
csv/_test_fork/_ab_A/scena_000120.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_000120.pkl.gz	37bdc52736967de1a3f4917023e335b78d2e0dc8	36279657	OK
csv/_test_fork/_ab_A/scena_000240.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_000240.pkl.gz	4f48c4d364c0d5e57dbc00b54dbc324897cae04e	36295491	OK
csv/_test_fork/_ab_A/scena_000360.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_000360.pkl.gz	920f3cb73bdb6f47dfe3c4e4d2b83359071de002	36343660	OK
csv/_test_fork/_ab_A/scena_000480.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_000480.pkl.gz	9b338ef80b3e95bae953413df7520b4359e2f4fd	36362617	OK
csv/_test_fork/_ab_A/scena_000600.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_000600.pkl.gz	5319d11ea79a57de62bfaa49c268ab93d7467e01	36352886	OK
csv/_test_fork/_ab_A/scena_000720.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_000720.pkl.gz	723eada9c7110212e4753ca6c5d990f9042d26d0	36150505	OK
csv/_test_fork/_ab_A/scena_000840.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_000840.pkl.gz	37bcc5b999bb7714e451fa6e08007f35e568d037	36474372	OK
csv/_test_fork/_ab_A/scena_000960.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_000960.pkl.gz	754df0c28d600394e5ca321028830b2007aa3891	36645562	OK
csv/_test_fork/_ab_A/scena_001080.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_001080.pkl.gz	10117428677adeab6e2591a8ac24a799c233a18f	36900202	OK
csv/_test_fork/_ab_A/scena_001200.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_001200.pkl.gz	311c29ac1a71f3896aa22aa25fda55f7c7ba9fb6	37269379	OK
csv/_test_fork/_ab_A/scena_001320.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_001320.pkl.gz	2b941739040df144146888e7f1a613b1883be1aa	37610071	OK
csv/_test_fork/_ab_A/scena_001440.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_001440.pkl.gz	9697fede33e22a42d3366787f20ab217c6431619	37942870	OK
csv/_test_fork/_ab_A/scena_001560.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_001560.pkl.gz	9c49b3cb9b9c2e2d2f6e1ae509cf2b0203097366	38288487	OK
csv/_test_fork/_ab_A/scena_001680.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_001680.pkl.gz	0463d59aa274229ce73ec47059a9006d9b530cee	38542788	OK
csv/_test_fork/_ab_A/scena_001800.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_001800.pkl.gz	c9e98a4380b07951db5533b7d4dbb2ccf84889be	38831392	OK
csv/_test_fork/_ab_A/scena_001920.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_001920.pkl.gz	f9be4f765e1fd34c59ac7ea3cdb80dd922c2faa4	39165098	OK
csv/_test_fork/_ab_A/scena_002040.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_002040.pkl.gz	4ccb72f86dac06f2bf6c139a566766fee9223bda	39559002	OK
csv/_test_fork/_ab_A/scena_002160.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_002160.pkl.gz	9cf1ffa4fdd67c0635956e2ab9fd437ca385ddd7	39899627	OK
csv/_test_fork/_ab_A/scena_002280.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_002280.pkl.gz	933aa2b317339a24771a0aa01c8231cf928c5462	40373617	OK
csv/_test_fork/_ab_A/scena_002400.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_002400.pkl.gz	fdae760a9c8a29152fabd11077c1a7738ffce3f9	40803401	OK
csv/_test_fork/_ab_A/scena_002520.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_002520.pkl.gz	0ddd97f7031a542115d2b1321fbac04a6ea013ca	41213992	OK
csv/_test_fork/_ab_A/scena_002640.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_002640.pkl.gz	fc18e8e044ccbf93f33fce21e9010f324cd2288a	41763262	OK
csv/_test_fork/_ab_A/scena_002760.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_002760.pkl.gz	b02eae7cf875eec96846579aeb67d3f859c33a1a	42328962	OK
csv/_test_fork/_ab_A/scena_002880.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_002880.pkl.gz	25851b702a62a1f762604b505c09b15baab78579	42908023	OK
csv/_test_fork/_ab_A/scena_003000.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_A\scena_003000.pkl.gz	d51159fa3b7a9c857013c2a18a56434ec2e00cb5	43508797	OK
csv/_test_fork/_ab_C_solo_chicoop_FERMATO/scena_000120.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_C_solo_chicoop_FERMATO\scena_000120.pkl.gz	c359cc4d5c7153b9521fc69b3d937e5ce2a1b87f	36196277	OK
csv/_test_fork/_ab_C_solo_chicoop_FERMATO/scena_000240.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_C_solo_chicoop_FERMATO\scena_000240.pkl.gz	b6113f76de20beded9a0f4e63e1094714768d9ee	36098761	OK
csv/_test_fork/_ab_C_solo_chicoop_FERMATO/scena_000360.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_C_solo_chicoop_FERMATO\scena_000360.pkl.gz	476b849e036ba6df2cbcebb1b92799e7a5d12196	36023549	OK
csv/_test_fork/_ab_C_solo_chicoop_FERMATO/scena_000480.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_C_solo_chicoop_FERMATO\scena_000480.pkl.gz	e7e8c6868d207bec5d03ce5dbcd375f1fffe94af	36189133	OK
csv/_test_fork/_ab_C_solo_chicoop_FERMATO/scena_000600.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_C_solo_chicoop_FERMATO\scena_000600.pkl.gz	c533f76335d34af83107a145ed2d0f32b133e6f4	36173095	OK
csv/_test_fork/_ab_C_solo_chicoop_FERMATO/scena_000720.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_C_solo_chicoop_FERMATO\scena_000720.pkl.gz	d3fc940ee89fd7c76da74355492cdcd10f81f833	36117286	OK
csv/_test_fork/_ab_C_solo_chicoop_FERMATO/scena_000840.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_C_solo_chicoop_FERMATO\scena_000840.pkl.gz	8044f7ffaa88a257629674da795471248e70cc77	36193119	OK
csv/_test_fork/_ab_C_solo_chicoop_FERMATO/scena_000960.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_C_solo_chicoop_FERMATO\scena_000960.pkl.gz	92025a5a72331ae8a6621d080c9723f8a13def21	36296281	OK
csv/_test_fork/_ab_C_solo_chicoop_FERMATO/scena_001080.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_C_solo_chicoop_FERMATO\scena_001080.pkl.gz	b2d45c383fc184923dba33980ad79a6350e77967	36535111	OK
csv/_test_fork/_ab_C_solo_chicoop_FERMATO/scena_001200.pkl.gz	E:\soliton_archivio\csv\_test_fork\_ab_C_solo_chicoop_FERMATO\scena_001200.pkl.gz	49183f8a738ce531218e2334f74755b87a844c64	36822520	OK
csv/_test_fork/_fin_B/scena_000180.pkl.gz	E:\soliton_archivio\csv\_test_fork\_fin_B\scena_000180.pkl.gz	bb17e3eeac8f9e36a72bdde9c847cf565569ff54	29245161	OK
csv/_test_fork/_fin_B/scena_000186.pkl.gz	E:\soliton_archivio\csv\_test_fork\_fin_B\scena_000186.pkl.gz	57dbe4104e09e259c42b84bf6d01a9af2436c893	29020545	OK
csv/_test_fork/_fin_B/scena_000192.pkl.gz	E:\soliton_archivio\csv\_test_fork\_fin_B\scena_000192.pkl.gz	ee631775ddf1a8323577709514443acbec76ea59	29062926	OK
csv/_test_fork/_fin_B/scena_000198.pkl.gz	E:\soliton_archivio\csv\_test_fork\_fin_B\scena_000198.pkl.gz	e66a74c2761d8021d223401f34e997f4ae68de60	29450709	OK
csv/_test_fork/_fin_B/scena_000204.pkl.gz	E:\soliton_archivio\csv\_test_fork\_fin_B\scena_000204.pkl.gz	a2d051881e94afde64a44702a636cc26aaf78e70	29438250	OK
csv/_test_fork/_fin_B/scena_000210.pkl.gz	E:\soliton_archivio\csv\_test_fork\_fin_B\scena_000210.pkl.gz	6cc5b08b0fb9d7b418e8b7a1e35c95e37d92a7b2	29402809	OK
csv/_test_fork/_fin_B/scena_000216.pkl.gz	E:\soliton_archivio\csv\_test_fork\_fin_B\scena_000216.pkl.gz	4a18f03a0289bb2019fb37dd22a9e9942a6196b3	29448119	OK
csv/_test_fork/_fin_B/scena_000222.pkl.gz	E:\soliton_archivio\csv\_test_fork\_fin_B\scena_000222.pkl.gz	6efff681d9b4e8a8b5d4480893bcf7a5560cb2a3	29496083	OK
csv/_test_fork/_fin_B/scena_000228.pkl.gz	E:\soliton_archivio\csv\_test_fork\_fin_B\scena_000228.pkl.gz	94f6b936da94422a96acb38717a91efef1c018dc	29505556	OK
csv/_test_fork/_fin_B/scena_000234.pkl.gz	E:\soliton_archivio\csv\_test_fork\_fin_B\scena_000234.pkl.gz	21b76a04efb0d629627c63efb269736da98c2f48	29597025	OK
csv/_test_fork/_fin_B/scena_000240.pkl.gz	E:\soliton_archivio\csv\_test_fork\_fin_B\scena_000240.pkl.gz	88317f843a1725070f4ef7392ab3069d47d44ce5	29578018	OK
