# blob simulatore (sha1 byte grezzi)=ab685eac
attributo,fisico,riga,funzione,tipo,flag
i,1,5336,mitosi,CONCATENA,sempre
i,1,5447,mitosi,CONCATENA,COPPIA_MIT
j,1,1492,__init__,diretto,sempre
j,1,2470,_allaccia,CONCATENA,sempre
j,1,5337,mitosi,CONCATENA,sempre
j,1,5448,mitosi,CONCATENA,COPPIA_MIT
masse_info,0,1525,__init__,diretto,sempre
masse_info,0,2345,semina,per indice,sempre
mem_mot,1,1507,__init__,diretto,sempre
mem_mot,1,2336,semina,CONCATENA,sempre
mem_mot,1,5288,mitosi,CONCATENA,sempre
mem_mot,1,5432,mitosi,CONCATENA,COPPIA_MIT
mem_mot,1,5636,memoria_hebbiana_moto,CONCATENA,sempre
mem_mot,1,5655,memoria_hebbiana_moto,per indice,sempre
nati,0,1509,__init__,diretto,sempre
nati,0,5361,mitosi,aumentato,sempre
nati,0,5466,mitosi,aumentato,COPPIA_MIT
negate,0,1509,__init__,diretto,sempre
negate,0,5226,mitosi,aumentato,sempre
omega_s,1,1446,__init__,diretto,sempre
omega_s,1,1770,_eredita_spinore_figli,CONCATENA,sempre
omega_s,1,2341,semina,CONCATENA,CALORE_VETTORIALE
omega_s,1,2647,_passo_spinoriale,CONCATENA,sempre
omega_s,1,2649,_passo_spinoriale,diretto,sempre
omega_s,1,3187,_passo_spinoriale,diretto,sempre
peq,1,1494,__init__,diretto,sempre
peq,1,2477,_allaccia,CONCATENA,sempre
peq,1,4691,step,per indice,sempre
peq,1,4743,step,diretto,PEQ_ESATTO
peq,1,4745,step,aumentato,PEQ_ESATTO
peq,1,4749,step,diretto,PEQ_ESATTO
peq,1,4751,step,aumentato,PEQ_ESATTO
peq,1,5352,mitosi,CONCATENA,sempre
peq,1,5455,mitosi,CONCATENA,COPPIA_MIT
perc_chi,1,1484,__init__,diretto,sempre
perc_chi,1,2331,semina,CONCATENA,sempre
perc_chi,1,4630,step,per indice,CHI_COOP
perc_chi,1,4654,step,per indice,SPINORE_CORRETTO
perc_chi,1,5276,mitosi,CONCATENA,sempre
perc_chi,1,5421,mitosi,CONCATENA,COPPIA_MIT
perc_geom,1,1490,__init__,diretto,sempre
perc_geom,1,2334,semina,CONCATENA,sempre
perc_geom,1,4627,step,per indice,CHI_COOP
perc_geom,1,5279,mitosi,CONCATENA,sempre
perc_geom,1,5425,mitosi,CONCATENA,COPPIA_MIT
perc_tw,0,1491,__init__,diretto,sempre
perc_tw,0,2335,semina,CONCATENA,sempre
perc_tw,0,5287,mitosi,CONCATENA,sempre
perc_tw,0,5431,mitosi,CONCATENA,COPPIA_MIT
phi,1,1442,__init__,diretto,sempre
phi,1,2311,semina,CONCATENA,sempre
phi,1,4581,step,diretto,sempre
phi,1,5270,mitosi,CONCATENA,sempre
phi,1,5309,mitosi,per indice,REGIME
phi,1,5310,mitosi,per indice,REGIME
phi,1,5313,mitosi,CONCATENA,REGIME
phi,1,5414,mitosi,CONCATENA,COPPIA_MIT
phi,1,6044,memoria_hebbiana_moto,per indice,sempre
phi0,1,1442,__init__,diretto,sempre
phi0,1,2312,semina,CONCATENA,sempre
phi0,1,5270,mitosi,CONCATENA,sempre
phi0,1,5415,mitosi,CONCATENA,COPPIA_MIT
phi_s,0,1444,__init__,diretto,sempre
phi_s,0,2313,semina,CONCATENA,sempre
phi_s,0,3196,_passo_spinoriale,diretto,sempre
phi_s,0,5271,mitosi,CONCATENA,sempre
phi_s,0,5416,mitosi,CONCATENA,COPPIA_MIT
phivel,1,1443,__init__,diretto,sempre
phivel,1,2327,semina,CONCATENA,_CALORE_INIT
phivel,1,2329,semina,CONCATENA,_CALORE_INIT
phivel,1,4580,step,diretto,sempre
phivel,1,5272,mitosi,CONCATENA,sempre
phivel,1,5417,mitosi,CONCATENA,COPPIA_MIT
pos,1,1442,__init__,diretto,sempre
pos,1,2310,semina,CONCATENA,sempre
pos,1,5269,mitosi,CONCATENA,sempre
pos,1,5413,mitosi,CONCATENA,COPPIA_MIT
pos,1,5544,rilassa_disegno,aumentato,sempre
pos,1,5546,rilassa_disegno,diretto,sempre
